Date,Price,Open,High,Low,index,Change %
4/30/2013,1477.1,1475.99,1479.31,1460.99,2767,0.03%
5/1/2013,1457.6,1476.55,1478.57,1440.6,2766,-1.32%
5/2/2013,1467.1,1457.65,1474.26,1449.3,2765,0.65%
5/3/2013,1470.7,1467.45,1488.3,1456.4,2764,0.25%
5/6/2013,1469.5,1470.5,1479.06,1465.1,2763,-0.08%
5/7/2013,1452.6,1470.2,1470.78,1441.72,2762,-1.15%
5/8/2013,1472.8,1452.7,1476.97,1447.9,2761,1.39%
5/9/2013,1458.2,1473.3,1476.01,1453.7,2760,-0.99%
5/10/2013,1448.2,1458.79,1462.36,1421.11,2759,-0.69%
5/13/2013,1430.55,1448.69,1448.69,1426.34,2758,-1.22%
5/14/2013,1426,1431.1,1445.57,1422.26,2757,-0.32%
5/15/2013,1392.9,1426.5,1430.85,1389.65,2756,-2.32%
5/16/2013,1386.3,1392.71,1398.52,1369.9,2755,-0.47%
5/17/2013,1359.2,1387.39,1392.96,1355.6,2754,-1.95%
5/20/2013,1394.15,1363.09,1399.1,1339.45,2753,2.57%
5/21/2013,1376.3,1394.75,1401.76,1360.3,2752,-1.28%
5/22/2013,1369.4,1376.95,1415.11,1355.47,2751,-0.50%
5/23/2013,1391.2,1369.2,1397.85,1356.74,2750,1.59%
5/24/2013,1386.05,1391.2,1398.45,1382.7,2749,-0.37%
5/27/2013,1394.78,1388.15,1396.9,1384.24,2748,0.63%
5/28/2013,1380.85,1394.24,1400.55,1374.14,2747,-1.00%
5/29/2013,1392.95,1380.79,1395.16,1379.99,2746,0.88%
5/30/2013,1413.75,1392.95,1418.31,1388.69,2745,1.49%
5/31/2013,1386.9,1413.75,1421.5,1384.64,2744,-1.90%
6/3/2013,1411.6,1389.09,1416.61,1388.94,2743,1.78%
6/4/2013,1399.9,1412,1415.62,1389.86,2742,-0.83%
6/5/2013,1403.3,1398.94,1410.51,1395.69,2741,0.24%
6/6/2013,1413.65,1403.3,1423.66,1391.84,2740,0.74%
6/7/2013,1384.47,1413.72,1418.03,1377.86,2739,-2.06%
6/10/2013,1386.9,1378.89,1389.06,1376.49,2738,0.18%
6/11/2013,1379.6,1387.01,1387.12,1367.26,2737,-0.53%
6/12/2013,1388.4,1379.5,1394.87,1374.35,2736,0.64%
6/13/2013,1386.05,1388.26,1395.27,1374.7,2735,-0.17%
6/14/2013,1390.7,1385.89,1392.11,1378.54,2734,0.34%
6/17/2013,1384.85,1391.29,1392.11,1380.94,2733,-0.42%
6/18/2013,1368.4,1384.9,1386.16,1361.15,2732,-1.19%
6/19/2013,1351.3,1367.7,1376.02,1349.35,2731,-1.25%
6/20/2013,1278,1351.51,1348.52,1276.8,2730,-5.42%
6/21/2013,1297.25,1278.34,1348.41,1269.39,2729,1.51%
6/24/2013,1281.9,1297.3,1301.62,1276.35,2728,-1.18%
6/25/2013,1277.35,1282.1,1289.41,1271.92,2727,-0.35%
6/26/2013,1226.35,1278.1,1277.62,1222.91,2726,-3.99%
6/27/2013,1200.75,1226.6,1245.46,1198.06,2725,-2.09%
6/28/2013,1234.25,1200.3,1245.61,1181.82,2724,2.79%
7/1/2013,1253.3,1233.49,1261.11,1226.31,2723,1.54%
7/2/2013,1242.5,1253.35,1266.55,1241.8,2722,-0.86%
